id,contract_id,timestamp,open,high,low,close,volume,timeframe_unit,timeframe_value,uptrendStart,downtrendStart,date_str,local_high,local_low,bars_since_high,bars_since_low,near_high,near_low,is_bullish,is_bearish,body_size,bar_range,body_pct,upper_wick,lower_wick,upper_wick_pct,lower_wick_pct,prev_close,price_change,close_higher,close_lower,higher_high,lower_low,prev_bullish,prev_bearish,bullish_engulfing,bearish_engulfing,hammer,shooting_star,trend_direction,morning_star,evening_star,consec_up,consec_down,volatility,ma20,above_ma20,below_ma20,ma_crossover_up,ma_crossover_down
15741,CON.F.US.MES.M25,2025-03-16 22:00:00+00:00,5679.75,5684.0,5656.75,5659.0,20435.0,3,1,False,False,2025-03-16 22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15740,CON.F.US.MES.M25,2025-03-16 23:00:00+00:00,5659.25,5666.5,5654.25,5660.75,11941.0,3,1,False,False,2025-03-16 23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15739,CON.F.US.MES.M25,2025-03-17 00:00:00+00:00,5660.75,5669.25,5658.0,5665.75,8809.0,3,1,False,False,2025-03-17 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15738,CON.F.US.MES.M25,2025-03-17 01:00:00+00:00,5665.5,5670.0,5663.5,5666.0,4677.0,3,1,False,False,2025-03-17 01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15737,CON.F.US.MES.M25,2025-03-17 02:00:00+00:00,5666.25,5666.75,5661.75,5663.0,4554.0,3,1,False,False,2025-03-17 02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15736,CON.F.US.MES.M25,2025-03-17 03:00:00+00:00,5662.75,5664.5,5659.25,5661.75,3557.0,3,1,False,False,2025-03-17 03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15735,CON.F.US.MES.M25,2025-03-17 04:00:00+00:00,5661.5,5665.25,5660.5,5662.5,2869.0,3,1,False,False,2025-03-17 04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15734,CON.F.US.MES.M25,2025-03-17 05:00:00+00:00,5662.5,5664.25,5661.0,5662.0,1557.0,3,1,False,False,2025-03-17 05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15733,CON.F.US.MES.M25,2025-03-17 06:00:00+00:00,5661.75,5663.25,5653.75,5657.75,4257.0,3,1,False,False,2025-03-17 06:00,5684.0,5654.25,8.0,7.0,False,True,False,True,4.0,9.5,42.10526315789474,1.5,4.0,15.789473684210526,42.10526315789474,5662.0,-0.07506181561285766,False,True,False,True,False,True,False,False,False,False,-0.3333333333333333,False,False,False,True,,,,,,
15732,CON.F.US.MES.M25,2025-03-17 07:00:00+00:00,5658.0,5661.75,5651.25,5661.5,7758.0,3,1,True,False,2025-03-17 07:00,5670.0,5653.75,7.0,2.0,True,True,True,False,3.5,10.5,33.333333333333336,0.25,6.75,2.380952380952381,64.28571428571429,5657.75,0.06628076532190358,True,False,False,True,False,True,False,False,True,False,-0.3333333333333333,False,False,False,False,,,,,,
15731,CON.F.US.MES.M25,2025-03-17 08:00:00+00:00,5661.75,5667.5,5655.25,5665.5,14989.0,3,1,True,False,2025-03-17 08:00,5670.0,5651.25,9.0,3.0,True,True,True,False,3.75,12.25,30.612244897959183,2.0,6.5,16.3265306122449,53.06122448979592,5661.5,0.07065265389031175,True,False,True,False,True,False,False,False,True,False,0.3333333333333333,False,False,False,False,0.0456969701408808,,,,,
