id,contract_id,timestamp,open,high,low,close,volume,timeframe_unit,timeframe_value
15741,CON.F.US.MES.M25,2025-03-16 22:00:00+00:00,5679.75,5684.0,5656.75,5659.0,20435.0,3,1
15740,CON.F.US.MES.M25,2025-03-16 23:00:00+00:00,5659.25,5666.5,5654.25,5660.75,11941.0,3,1
15739,CON.F.US.MES.M25,2025-03-17 00:00:00+00:00,5660.75,5669.25,5658.0,5665.75,8809.0,3,1
15738,CON.F.US.MES.M25,2025-03-17 01:00:00+00:00,5665.5,5670.0,5663.5,5666.0,4677.0,3,1
15737,CON.F.US.MES.M25,2025-03-17 02:00:00+00:00,5666.25,5666.75,5661.75,5663.0,4554.0,3,1
15736,CON.F.US.MES.M25,2025-03-17 03:00:00+00:00,5662.75,5664.5,5659.25,5661.75,3557.0,3,1
15735,CON.F.US.MES.M25,2025-03-17 04:00:00+00:00,5661.5,5665.25,5660.5,5662.5,2869.0,3,1
15734,CON.F.US.MES.M25,2025-03-17 05:00:00+00:00,5662.5,5664.25,5661.0,5662.0,1557.0,3,1
15733,CON.F.US.MES.M25,2025-03-17 06:00:00+00:00,5661.75,5663.25,5653.75,5657.75,4257.0,3,1
15732,CON.F.US.MES.M25,2025-03-17 07:00:00+00:00,5658.0,5661.75,5651.25,5661.5,7758.0,3,1
15731,CON.F.US.MES.M25,2025-03-17 08:00:00+00:00,5661.75,5667.5,5655.25,5665.5,14989.0,3,1
15730,CON.F.US.MES.M25,2025-03-17 09:00:00+00:00,5665.5,5670.25,5662.75,5666.5,11935.0,3,1
15729,CON.F.US.MES.M25,2025-03-17 10:00:00+00:00,5666.5,5681.5,5664.75,5680.25,12752.0,3,1
15728,CON.F.US.MES.M25,2025-03-17 11:00:00+00:00,5680.0,5687.25,5676.5,5676.75,20236.0,3,1
15727,CON.F.US.MES.M25,2025-03-17 12:00:00+00:00,5676.75,5701.25,5667.5,5694.0,36974.0,3,1
15726,CON.F.US.MES.M25,2025-03-17 13:00:00+00:00,5693.75,5726.25,5683.75,5719.25,144493.0,3,1
15725,CON.F.US.MES.M25,2025-03-17 14:00:00+00:00,5719.25,5725.0,5698.75,5702.0,204231.0,3,1
15724,CON.F.US.MES.M25,2025-03-17 15:00:00+00:00,5702.0,5714.5,5689.75,5700.25,141642.0,3,1
15723,CON.F.US.MES.M25,2025-03-17 16:00:00+00:00,5700.25,5715.0,5694.75,5708.0,104571.0,3,1
15722,CON.F.US.MES.M25,2025-03-17 17:00:00+00:00,5707.5,5736.25,5701.0,5733.5,86660.0,3,1
15721,CON.F.US.MES.M25,2025-03-17 18:00:00+00:00,5733.5,5759.75,5733.25,5754.5,95278.0,3,1
15720,CON.F.US.MES.M25,2025-03-17 19:00:00+00:00,5754.5,5755.75,5730.5,5732.75,117553.0,3,1
15719,CON.F.US.MES.M25,2025-03-17 20:00:00+00:00,5732.75,5734.25,5725.5,5732.25,20382.0,3,1
15718,CON.F.US.MES.M25,2025-03-17 22:00:00+00:00,5732.0,5738.0,5730.0,5737.5,10323.0,3,1
15717,CON.F.US.MES.M25,2025-03-17 23:00:00+00:00,5737.25,5737.75,5730.25,5731.5,6123.0,3,1
15716,CON.F.US.MES.M25,2025-03-18 00:00:00+00:00,5731.75,5733.5,5724.5,5727.5,8923.0,3,1
15715,CON.F.US.MES.M25,2025-03-18 01:00:00+00:00,5727.25,5730.0,5716.5,5717.5,10607.0,3,1
