trend_type,bar_index,date
downtrend,1,2025-03-16 22:00:00+00:00
uptrend,1,2025-03-16 22:00:00+00:00
uptrend,3,2025-03-17 06:00:00+00:00
downtrend,6,2025-03-17 18:00:00+00:00
uptrend,8,2025-03-18 02:00:00+00:00
downtrend,9,2025-03-18 06:00:00+00:00
uptrend,11,2025-03-18 14:00:00+00:00
downtrend,13,2025-03-18 22:00:00+00:00
uptrend,15,2025-03-19 06:00:00+00:00
downtrend,17,2025-03-19 14:00:00+00:00
uptrend,18,2025-03-19 18:00:00+00:00
downtrend,23,2025-03-20 14:00:00+00:00
uptrend,24,2025-03-20 18:00:00+00:00
uptrend,28,2025-03-21 10:00:00+00:00
downtrend,36,2025-03-24 18:00:00+00:00
uptrend,39,2025-03-25 06:00:00+00:00
downtrend,41,2025-03-25 14:00:00+00:00
uptrend,42,2025-03-25 18:00:00+00:00
downtrend,43,2025-03-25 22:00:00+00:00
uptrend,45,2025-03-26 06:00:00+00:00
downtrend,46,2025-03-26 10:00:00+00:00
uptrend,49,2025-03-26 22:00:00+00:00
downtrend,51,2025-03-27 06:00:00+00:00
uptrend,52,2025-03-27 10:00:00+00:00
downtrend,53,2025-03-27 14:00:00+00:00
uptrend,55,2025-03-27 22:00:00+00:00
downtrend,57,2025-03-28 06:00:00+00:00
uptrend,61,2025-03-30 22:00:00+00:00
uptrend,64,2025-03-31 10:00:00+00:00
downtrend,66,2025-03-31 18:00:00+00:00
uptrend,71,2025-04-01 14:00:00+00:00
uptrend,74,2025-04-02 02:00:00+00:00
downtrend,75,2025-04-02 06:00:00+00:00
uptrend,76,2025-04-02 10:00:00+00:00
downtrend,78,2025-04-02 18:00:00+00:00
uptrend,79,2025-04-02 22:00:00+00:00
downtrend,80,2025-04-03 02:00:00+00:00
downtrend,87,2025-04-04 06:00:00+00:00
uptrend,91,2025-04-06 22:00:00+00:00
downtrend,101,2025-04-08 14:00:00+00:00
uptrend,104,2025-04-09 02:00:00+00:00
downtrend,109,2025-04-09 22:00:00+00:00
uptrend,110,2025-04-10 02:00:00+00:00
downtrend,111,2025-04-10 06:00:00+00:00
uptrend,113,2025-04-10 14:00:00+00:00
downtrend,117,2025-04-11 06:00:00+00:00
uptrend,119,2025-04-11 14:00:00+00:00
downtrend,124,2025-04-14 10:00:00+00:00
downtrend,125,2025-04-14 14:00:00+00:00
uptrend,125,2025-04-14 14:00:00+00:00
uptrend,127,2025-04-14 22:00:00+00:00
downtrend,131,2025-04-15 14:00:00+00:00
uptrend,134,2025-04-16 02:00:00+00:00
downtrend,137,2025-04-16 14:00:00+00:00
uptrend,138,2025-04-16 18:00:00+00:00
downtrend,141,2025-04-17 06:00:00+00:00
uptrend,143,2025-04-17 14:00:00+00:00
downtrend,144,2025-04-17 18:00:00+00:00
uptrend,150,2025-04-21 18:00:00+00:00
downtrend,155,2025-04-22 14:00:00+00:00
uptrend,156,2025-04-22 18:00:00+00:00
downtrend,161,2025-04-23 14:00:00+00:00
uptrend,162,2025-04-23 18:00:00+00:00
uptrend,165,2025-04-24 06:00:00+00:00
downtrend,170,2025-04-25 02:00:00+00:00
uptrend,173,2025-04-25 14:00:00+00:00
downtrend,174,2025-04-25 18:00:00+00:00
uptrend,176,2025-04-28 02:00:00+00:00
downtrend,178,2025-04-28 10:00:00+00:00
uptrend,179,2025-04-28 14:00:00+00:00
downtrend,182,2025-04-29 02:00:00+00:00
uptrend,184,2025-04-29 10:00:00+00:00
downtrend,186,2025-04-29 18:00:00+00:00
uptrend,188,2025-04-30 02:00:00+00:00
downtrend,189,2025-04-30 06:00:00+00:00
uptrend,190,2025-04-30 10:00:00+00:00
downtrend,195,2025-05-01 06:00:00+00:00
uptrend,196,2025-05-01 10:00:00+00:00
uptrend,199,2025-05-01 22:00:00+00:00
downtrend,200,2025-05-02 02:00:00+00:00
uptrend,201,2025-05-02 06:00:00+00:00
downtrend,204,2025-05-02 18:00:00+00:00
uptrend,205,2025-05-04 22:00:00+00:00
downtrend,207,2025-05-05 06:00:00+00:00
uptrend,207,2025-05-05 06:00:00+00:00
downtrend,210,2025-05-05 18:00:00+00:00
uptrend,214,2025-05-06 10:00:00+00:00
downtrend,215,2025-05-06 14:00:00+00:00
uptrend,216,2025-05-06 18:00:00+00:00
downtrend,220,2025-05-07 10:00:00+00:00
uptrend,222,2025-05-07 18:00:00+00:00
downtrend,226,2025-05-08 10:00:00+00:00
downtrend,227,2025-05-08 14:00:00+00:00
downtrend,232,2025-05-09 10:00:00+00:00
uptrend,232,2025-05-09 10:00:00+00:00
uptrend,233,2025-05-09 14:00:00+00:00
downtrend,238,2025-05-12 10:00:00+00:00
uptrend,239,2025-05-12 14:00:00+00:00
downtrend,240,2025-05-12 18:00:00+00:00
uptrend,243,2025-05-13 06:00:00+00:00
downtrend,245,2025-05-13 14:00:00+00:00
uptrend,251,2025-05-14 14:00:00+00:00
