trend_start_type,bar_index,date
uptrend,3,2025-03-17 06:00:00+00:00
downtrend,6,2025-03-17 18:00:00+00:00
uptrend,8,2025-03-18 02:00:00+00:00
downtrend,9,2025-03-18 06:00:00+00:00
uptrend,11,2025-03-18 14:00:00+00:00
downtrend,14,2025-03-19 02:00:00+00:00
uptrend,15,2025-03-19 06:00:00+00:00
downtrend,17,2025-03-19 14:00:00+00:00
uptrend,18,2025-03-19 18:00:00+00:00
downtrend,23,2025-03-20 14:00:00+00:00
uptrend,24,2025-03-20 18:00:00+00:00
downtrend,25,2025-03-20 22:00:00+00:00
uptrend,28,2025-03-21 10:00:00+00:00
downtrend,37,2025-03-24 22:00:00+00:00
uptrend,39,2025-03-25 06:00:00+00:00
downtrend,41,2025-03-25 14:00:00+00:00
uptrend,42,2025-03-25 18:00:00+00:00
downtrend,43,2025-03-25 22:00:00+00:00
uptrend,45,2025-03-26 06:00:00+00:00
downtrend,46,2025-03-26 10:00:00+00:00
uptrend,49,2025-03-26 22:00:00+00:00
downtrend,51,2025-03-27 06:00:00+00:00
uptrend,53,2025-03-27 14:00:00+00:00
downtrend,54,2025-03-27 18:00:00+00:00
uptrend,55,2025-03-27 22:00:00+00:00
downtrend,57,2025-03-28 06:00:00+00:00
uptrend,61,2025-03-30 22:00:00+00:00
downtrend,62,2025-03-31 02:00:00+00:00
uptrend,65,2025-03-31 14:00:00+00:00
downtrend,66,2025-03-31 18:00:00+00:00
uptrend,68,2025-04-01 02:00:00+00:00
downtrend,69,2025-04-01 06:00:00+00:00
uptrend,71,2025-04-01 14:00:00+00:00
downtrend,73,2025-04-01 22:00:00+00:00
uptrend,76,2025-04-02 10:00:00+00:00
downtrend,78,2025-04-02 18:00:00+00:00
uptrend,91,2025-04-06 22:00:00+00:00
downtrend,92,2025-04-07 02:00:00+00:00
uptrend,93,2025-04-07 06:00:00+00:00
downtrend,94,2025-04-07 10:00:00+00:00
uptrend,95,2025-04-07 14:00:00+00:00
downtrend,96,2025-04-07 18:00:00+00:00
uptrend,97,2025-04-07 22:00:00+00:00
downtrend,101,2025-04-08 14:00:00+00:00
uptrend,104,2025-04-09 02:00:00+00:00
downtrend,105,2025-04-09 06:00:00+00:00
uptrend,106,2025-04-09 10:00:00+00:00
downtrend,109,2025-04-09 22:00:00+00:00
uptrend,113,2025-04-10 14:00:00+00:00
downtrend,116,2025-04-11 02:00:00+00:00
uptrend,117,2025-04-11 06:00:00+00:00
downtrend,118,2025-04-11 10:00:00+00:00
uptrend,119,2025-04-11 14:00:00+00:00
downtrend,120,2025-04-11 18:00:00+00:00
uptrend,121,2025-04-13 22:00:00+00:00
downtrend,124,2025-04-14 10:00:00+00:00
uptrend,125,2025-04-14 14:00:00+00:00
downtrend,126,2025-04-14 18:00:00+00:00
uptrend,127,2025-04-14 22:00:00+00:00
