event_timestamp,event_type,processing_bar_index,message,processing_bar_timestamp,processing_bar_ohlc,pds_potential_idx,pds_anchor_h,pds_candidate_idx,pds_candidate_h,pds_candidate_l,pus_potential_idx,pus_anchor_l,pus_candidate_idx,pus_candidate_l,pus_candidate_h,in_containment,containment_ref_idx,containment_ref_type,last_trend_type,last_trend_idx,overall_trend_up
2025-06-09T21:41:32.717134+00:00,STRATEGY_DEBUG,4,"Initial State - Containment: False (Ref Bar: None, H:N/A, L:N/A, Start Bar: None, Consecutive Inside: 0)",2025-03-17T10:00:00+00:00,"O:5666.5,H:5726.25,L:5664.75,C:5719.25,V:214455.0",,,,,,,,,,,False,,,downtrend,1.0,False
2025-06-09T21:41:32.717138+00:00,STRATEGY_DEBUG,4,CUS Evaluation: No initial PUS candidate to evaluate.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717140+00:00,STRATEGY_DEBUG,4,CDS Evaluation: No initial PDS candidate to evaluate.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717141+00:00,STRATEGY_DEBUG,4,Signal Generation: Checking PDS for prev_bar (3) triggered by current_bar (4).,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717144+00:00,STRATEGY_DEBUG,4,"Signal Generation (PDS on prev_bar 3): is_lower_ohlc_bar=False, is_pending_downtrend_start_rule=False, is_simple_pending_downtrend_start_signal=False",,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717145+00:00,STRATEGY_DEBUG,4,Signal Generation: No PDS conditions met for prev_bar (3).,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717147+00:00,STRATEGY_DEBUG,4,Signal Generation: Checking PUS for prev_bar (3) triggered by current_bar (4).,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717149+00:00,STRATEGY_DEBUG,4,"Signal Generation (PUS on prev_bar 3): is_higher_ohlc_bar=True, is_pending_uptrend_start_rule=True, is_simple_pending_uptrend_start_signal=True, cond_curr_triggers_pus_on_prev_via_hhll=False",,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717151+00:00,STRATEGY_DEBUG,3,Attempting to set PUS on Bar 3. Current PUS cand: None (L:None).,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717153+00:00,STRATEGY_DEBUG,3,"PUS set/updated on Bar 3 (L:5651.25, H:5670.25). Cleared PDS on same bar if present.",,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717154+00:00,STRATEGY_DEBUG,4,Signal Generation: PUS conditions MET. PUS set/updated on prev_bar (3).,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717156+00:00,STRATEGY_DEBUG,4,Bar Summary: Pending Uptrend Start on Bar 3 (2025-03-17T06:00:00+00:00),2025-03-17T10:00:00+00:00,"O:5666.5,H:5726.25,L:5664.75,C:5719.25,V:214455.0",,,,,,3.0,5651.25,3.0,5651.25,5670.25,False,,,downtrend,1.0,False
2025-06-09T21:41:32.717160+00:00,STRATEGY_DEBUG,5,Processing Bar 5 (2025-03-17T14:00:00+00:00),2025-03-17T14:00:00+00:00,"O:5719.25,H:5736.25,L:5689.75,C:5733.5,V:537104.0",,,,,,3.0,5651.25,3.0,5651.25,5670.25,False,,,downtrend,1.0,False
2025-06-09T21:41:32.717164+00:00,STRATEGY_DEBUG,5,Bar OHLCV: O:5719.25 H:5736.25 L:5689.75 C:5733.5 V:537104.0,2025-03-17T14:00:00+00:00,"O:5719.25,H:5736.25,L:5689.75,C:5733.5,V:537104.0",,,,,,3.0,5651.25,3.0,5651.25,5670.25,False,,,downtrend,1.0,False
2025-06-09T21:41:32.717168+00:00,STRATEGY_DEBUG,5,Initial State - PUS Candidate: Bar 3 (L:5651.25) | PDS Candidate: Bar None (H:N/A),2025-03-17T14:00:00+00:00,"O:5719.25,H:5736.25,L:5689.75,C:5733.5,V:537104.0",,,,,,3.0,5651.25,3.0,5651.25,5670.25,False,,,downtrend,1.0,False
2025-06-09T21:41:32.717176+00:00,STRATEGY_DEBUG,5,Initial State - Last Confirmed Trend: downtrend at Bar 1,2025-03-17T14:00:00+00:00,"O:5719.25,H:5736.25,L:5689.75,C:5733.5,V:537104.0",,,,,,3.0,5651.25,3.0,5651.25,5670.25,False,,,downtrend,1.0,False
2025-06-09T21:41:32.717180+00:00,STRATEGY_DEBUG,5,"Initial State - Containment: False (Ref Bar: None, H:N/A, L:N/A, Start Bar: None, Consecutive Inside: 0)",2025-03-17T14:00:00+00:00,"O:5719.25,H:5736.25,L:5689.75,C:5733.5,V:537104.0",,,,,,3.0,5651.25,3.0,5651.25,5670.25,False,,,downtrend,1.0,False
2025-06-09T21:41:32.717184+00:00,STRATEGY_DEBUG,5,CUS Evaluation: Checking rule 'EXHAUSTION_REVERSAL' for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717186+00:00,STRATEGY_DEBUG,5,CUS Evaluation: Rule 'EXHAUSTION_REVERSAL' NOT MET for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717187+00:00,STRATEGY_DEBUG,5,CUS Evaluation: Checking rule 'LowUndercutHighRespect' for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717189+00:00,STRATEGY_DEBUG,5,CUS Rule 'LowUndercutHighRespect' REJECTED: Missing PUS (3) or PDS context (None).,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717190+00:00,STRATEGY_DEBUG,5,CUS Evaluation: Rule 'LowUndercutHighRespect' NOT MET for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717191+00:00,STRATEGY_DEBUG,5,CUS Evaluation: Checking rule 'HigherHighLowerLowDownClose' for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717192+00:00,STRATEGY_DEBUG,5,CUS Evaluation: Rule 'HigherHighLowerLowDownClose' NOT MET for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717194+00:00,STRATEGY_DEBUG,5,CUS Evaluation: Checking rule 'EngulfingUpPDSLowBreak' for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717195+00:00,STRATEGY_DEBUG,5,CUS Evaluation: Rule 'EngulfingUpPDSLowBreak' NOT MET for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717196+00:00,STRATEGY_DEBUG,5,CUS Evaluation: Checking rule 'BreakoutAfterFailedLowV2' for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717198+00:00,STRATEGY_DEBUG,5,CUS Rule '_cus_rule_breakout_after_failed_low_v2' REJECTED: No initial PUS (3) or PDS (None) candidate.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717199+00:00,STRATEGY_DEBUG,5,CUS Evaluation: Rule 'BreakoutAfterFailedLowV2' NOT MET for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717201+00:00,STRATEGY_DEBUG,5,CDS Evaluation: No initial PDS candidate to evaluate.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717202+00:00,STRATEGY_DEBUG,5,Signal Generation: Checking PDS for prev_bar (4) triggered by current_bar (5).,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717204+00:00,STRATEGY_DEBUG,5,"Signal Generation (PDS on prev_bar 4): is_lower_ohlc_bar=False, is_pending_downtrend_start_rule=False, is_simple_pending_downtrend_start_signal=False",,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717205+00:00,STRATEGY_DEBUG,5,Signal Generation: No PDS conditions met for prev_bar (4).,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717207+00:00,STRATEGY_DEBUG,5,Signal Generation: Checking PUS for prev_bar (4) triggered by current_bar (5).,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717209+00:00,STRATEGY_DEBUG,5,"Signal Generation (PUS on prev_bar 4): is_higher_ohlc_bar=True, is_pending_uptrend_start_rule=True, is_simple_pending_uptrend_start_signal=True, cond_curr_triggers_pus_on_prev_via_hhll=False",,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717210+00:00,STRATEGY_DEBUG,4,Attempting to set PUS on Bar 4. Current PUS cand: 3 (L:5651.25).,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717212+00:00,STRATEGY_DEBUG,4,PUS on Bar 4 not set/updated (existing cand Bar 3 has L:5651.25).,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717213+00:00,STRATEGY_DEBUG,5,Signal Generation: PUS conditions MET BUT PUS on prev_bar (4) was not updated (e.g. existing cand better).,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717214+00:00,STRATEGY_DEBUG,5,Bar Summary: Neutral (no specific events).,2025-03-17T14:00:00+00:00,"O:5719.25,H:5736.25,L:5689.75,C:5733.5,V:537104.0",,,,,,4.0,5664.75,3.0,5651.25,5670.25,False,,,downtrend,1.0,False
2025-06-09T21:41:32.717218+00:00,STRATEGY_DEBUG,6,Processing Bar 6 (2025-03-17T18:00:00+00:00),2025-03-17T18:00:00+00:00,"O:5733.5,H:5759.75,L:5725.5,C:5732.25,V:233213.0",,,,,,4.0,5664.75,3.0,5651.25,5670.25,False,,,downtrend,1.0,False
2025-06-09T21:41:32.717223+00:00,STRATEGY_DEBUG,6,Bar OHLCV: O:5733.5 H:5759.75 L:5725.5 C:5732.25 V:233213.0,2025-03-17T18:00:00+00:00,"O:5733.5,H:5759.75,L:5725.5,C:5732.25,V:233213.0",,,,,,4.0,5664.75,3.0,5651.25,5670.25,False,,,downtrend,1.0,False
2025-06-09T21:41:32.717227+00:00,STRATEGY_DEBUG,6,Initial State - PUS Candidate: Bar 3 (L:5651.25) | PDS Candidate: Bar None (H:N/A),2025-03-17T18:00:00+00:00,"O:5733.5,H:5759.75,L:5725.5,C:5732.25,V:233213.0",,,,,,4.0,5664.75,3.0,5651.25,5670.25,False,,,downtrend,1.0,False
2025-06-09T21:41:32.717230+00:00,STRATEGY_DEBUG,6,Initial State - Last Confirmed Trend: downtrend at Bar 1,2025-03-17T18:00:00+00:00,"O:5733.5,H:5759.75,L:5725.5,C:5732.25,V:233213.0",,,,,,4.0,5664.75,3.0,5651.25,5670.25,False,,,downtrend,1.0,False
2025-06-09T21:41:32.717235+00:00,STRATEGY_DEBUG,6,"Initial State - Containment: False (Ref Bar: None, H:N/A, L:N/A, Start Bar: None, Consecutive Inside: 0)",2025-03-17T18:00:00+00:00,"O:5733.5,H:5759.75,L:5725.5,C:5732.25,V:233213.0",,,,,,4.0,5664.75,3.0,5651.25,5670.25,False,,,downtrend,1.0,False
2025-06-09T21:41:32.717240+00:00,STRATEGY_DEBUG,6,CUS Evaluation: Checking rule 'EXHAUSTION_REVERSAL' for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717242+00:00,STRATEGY_DEBUG,6,CUS Evaluation: Rule 'EXHAUSTION_REVERSAL' NOT MET for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717243+00:00,STRATEGY_DEBUG,6,CUS Evaluation: Checking rule 'LowUndercutHighRespect' for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717245+00:00,STRATEGY_DEBUG,6,CUS Rule 'LowUndercutHighRespect' REJECTED: Missing PUS (3) or PDS context (None).,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717246+00:00,STRATEGY_DEBUG,6,CUS Evaluation: Rule 'LowUndercutHighRespect' NOT MET for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717247+00:00,STRATEGY_DEBUG,6,CUS Evaluation: Checking rule 'HigherHighLowerLowDownClose' for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
